entry_id,neighborhood,district,total_population,foreign_population,spanish_population,elderly_population,young_population,female_population,density_2023,total_population_growth_1y,foreign_population_growth_1y,spanish_population_growth_1y,elderly_population_growth_1y,young_population_growth_1y,female_population_growth_1y,density_2022,total_population_growth_3y,foreign_population_growth_3y,spanish_population_growth_3y,elderly_population_growth_3y,young_population_growth_3y,female_population_growth_3y,density_2020,total_population_growth_5y,foreign_population_growth_5y,spanish_population_growth_5y,elderly_population_growth_5y,young_population_growth_5y,female_population_growth_5y,density_2018,number_transactions,number_transactions_new,number_transactions_social,number_transactions_used,total_transactions_growth_1y,total_transactions_growth_3y,total_transactions_growth_5y,average_loan_amount,interest_rate,average_period_mortgage,average_size_ongoing_transaction,tenancy_days,residential_real_estates,average_built_area,average_construction_year,total_rent_portal_03_23,total_price_portal_03_23,total_price_portal,total_price_portal_growth_5y,total_price_portal_growth_3y,total_price_portal_growth_1y,total_price_register,new_price_register,used_price_register,price_official_internal_index,total_price_register_growth_5y,new_price_register_growth_5y,used_price_register_growth_5y,total_price_register_growth_3y,new_price_register_growth_3y,used_price_register_growth_3y,total_price_register_growth_1y,new_price_register_growth_1y,used_price_register_growth_1y,IVBSI_2022,IVMAUM_2022,IVEC_2022,IVEE_2022,IVS_2022,IVBSI_2021,IVMAUM_2021,IVEC_2021,IVEE_2021,IVS_2021
65,107. Águilas,10. Latina,"51,268","7,183","44,084",0.28,0.11,0.54,142.0323582,0.01,0.11,-0.01,0.28,0.12,0.01,141.03,-0.02,0.11,-0.03,27.59,12,-0.01,144.37,0.003,0.345,-0.037,28.240,12.130,0.008,141.570,463,37,4,422,0.20,0.15,-0.02,123310.54,2.18,311,68.96,8356.48,23169,84,1973,,"2,556","2,333",0.254,0.098,0.067,"2,351","2,440","2,342",60.28,0.40,0.63,0.36,0.05,0.03,0.08,0.09,0.13,0.09,7.05,5.49,8.99,7.77,6.52,6.43,5.21,8.92,7.67,5.93
66,111. Comillas,11. Carabanchel,"22,721","4,857","17,864",0.23,0.11,0.54,341.1049392,0.02,0.11,0.00,0.24,0.11,0.02,333.50,-0.01,0.07,-0.03,23.31,11,-0.02,345.31,0.021,0.303,-0.035,24.300,11.280,0.012,334.010,203,22,0,181,0.29,0.42,0.05,149467.48,2.25,311,72.8,5046.4,11062,82,1966,15.5,"3,282","2,841",0.250,0.051,0.034,"2,839","2,831","2,839",72.78,0.49,0.51,0.48,0.13,0.00,0.14,0.07,0.02,0.08,10.43,6.74,12.71,10.8,6.01,8.75,7.77,12.57,10.92,6.06
67,112. Opañel,11. Carabanchel,"33,883","8,468","25,415",0.20,0.11,0.54,305.9965682,0.02,0.09,0.00,0.20,0.12,0.02,300.74,0.01,0.12,-0.03,20.58,12,0.00,304.18,0.043,0.334,-0.028,21.090,12.350,0.036,293.440,356,66,0,290,0.86,0.44,0.52,133108.22,2.34,313,70.62,4526.34,15204,86,1973,14.5,"2,553","2,241",0.188,-0.042,-0.015,"2,501","3,153","2,345",64.11,0.46,0.75,0.39,0.10,0.23,0.05,0.03,0.28,-0.03,7.53,9.1,10.75,10.8,6.3,8.67,9.53,10.68,10.92,6.48
68,113. San Isidro,11. Carabanchel,"40,368","9,598","30,770",0.19,0.13,0.53,212.5414626,0.02,0.13,0.00,0.19,0.13,0.02,207.39,0.01,0.12,-0.02,18.82,13,0.00,210.72,0.047,0.330,-0.018,19.480,13.590,0.039,202.990,564,84,3,477,0.50,0.49,0.32,138571.98,2.28,304,66.45,5437.99,17335,83,1975,15,"2,696","2,538",0.409,0.102,0.142,"2,631","3,122","2,542",67.45,0.40,0.54,0.37,0.19,0.28,0.18,0.06,0.34,0.02,7.96,5.46,11.35,10.8,6.24,8.75,6.64,11.27,10.92,6.67
69,114. Vista Alegre,11. Carabanchel,"47,727","12,748","34,979",0.22,0.12,0.54,300.3209162,0.03,0.11,0.00,0.22,0.12,0.03,292.43,0.00,0.10,-0.03,22.14,13,0.00,299.53,0.060,0.391,-0.024,23.350,12.640,0.056,283.210,549,28,1,520,0.30,0.33,0.22,120238.19,2.19,317,69.32,5325.99,19531,84,1970,14.7,"2,382","2,258",0.229,0.105,0.082,"2,237","2,466","2,224",57.35,0.31,0.40,0.31,0.05,0.10,0.05,0.02,0.10,0.02,6.98,7.81,13.19,10.8,6.61,8.47,10.87,13.03,10.92,6.02
70,115. Puerta Bonita,11. Carabanchel,"36,798","10,165","26,633",0.17,0.14,0.53,228.7579261,0.04,0.15,0.00,0.18,0.14,0.04,220.03,0.02,0.16,-0.02,17.90,15,0.02,223.37,0.084,0.471,-0.015,19.130,15.080,0.081,210.940,388,62,0,326,1.79,0.34,0.75,107061.29,2.32,302,65.02,3032.56,14216,81,1974,14.9,"2,459","2,170",0.314,0.117,0.112,"2,126","2,498","2,057",54.51,0.41,0.52,0.41,0.07,0.17,0.05,0.03,0.17,0.01,7.5,6.98,11.46,10.8,6.32,10.73,11.03,11.35,10.92,7.35
71,116. Buenavista,11. Carabanchel,"49,151","8,102","41,048",0.13,0.18,0.52,87.56324378,0.03,0.15,0.01,0.14,0.19,0.03,85.18,0.02,0.18,0.00,13.66,20,0.02,85.53,0.064,0.454,0.010,13.810,21.040,0.064,82.330,563,97,6,460,0.27,0.56,0.25,181140.37,2.38,316,73.09,5060.78,19954,105,1990,,"3,095","2,697",0.214,0.077,0.388,"2,638","2,896","2,579",67.63,0.47,0.82,0.36,0.14,0.31,0.10,0.12,0.27,0.08,7.73,5.34,10.51,10.8,6.31,8.89,8.35,10.42,10.92,5.82
72,117. Abrantes,11. Carabanchel,"31,691","7,722","23,969",0.17,0.15,0.54,202.5501726,0.02,0.12,0.00,0.18,0.15,0.03,197.66,-0.01,0.10,-0.04,17.42,16,0.00,204.19,0.065,0.467,-0.022,18.450,16.670,0.066,190.270,243,12,0,231,1.31,0.51,0.59,121500.42,2.28,316,73.1,2790.55,12426,84,1974,14.2,"2,252","2,047",0.245,0.087,0.079,"2,210",0,"2,208",56.67,0.39,0.42,0.41,0.16,0.00,0.16,0.10,0.00,0.09,7.16,5.13,13.23,10.8,6.52,8.58,5.73,13.05,10.92,6.22
73,121. Orcasitas,12. Usera,"23,085","2,550","20,534",0.19,0.15,0.53,170.1931584,0.00,0.09,-0.01,0.19,0.16,0.00,169.54,0.00,0.15,-0.02,19.10,17,-0.01,170.85,0.023,0.559,-0.018,19.660,17.930,0.022,166.290,89,5,2,82,-0.06,-0.33,-0.26,141699.11,2.24,340,101.36,0,9169,113,1987,,,"2,132",0.253,0.179,0.171,"1,654",0,"1,659",42.41,0.17,0.00,0.14,-0.06,-1.00,-0.09,-0.11,0.00,-0.15,8.67,5.29,11.64,9.65,7.92,8.15,5.02,12.57,9.81,7.77
74,122. Orcasur,12. Usera,"14,390","2,878","11,512",0.14,0.15,0.51,103.7266633,0.01,0.11,-0.01,0.14,0.16,0.01,102.71,0.02,0.22,-0.02,14.36,16,0.01,102.02,0.060,0.584,-0.021,14.630,17.140,0.058,97.830,20,2,0,18,-0.73,-0.84,-0.86,123976.47,2.05,336,86.97,3335.48,5229,110,1990,,,"1,858",0.000,0.075,-0.009,"2,851",0,"2,799",73.09,1.01,-1.00,0.96,0.70,-1.00,0.62,0.49,0.00,0.41,9.77,4.81,11.83,14.34,8.39,8.05,5.21,12.78,13.89,8.09
75,123. San Fermín,12. Usera,"23,598","5,045","18,553",0.15,0.15,0.52,159.9430663,0.01,0.05,-0.01,0.15,0.16,0.01,159.01,-0.02,0.03,-0.03,14.30,18,-0.02,162.67,0.017,0.242,-0.031,14.530,18.980,0.021,157.310,209,13,1,195,0.27,0.11,-0.04,126483.72,2.14,316,77.44,4504.5,9197,95,1986,,,"2,170",0.266,0.063,0.158,"2,044",0,"2,048",52.42,0.44,0.00,0.44,0.10,0.00,0.11,0.09,0.00,0.10,9.08,5.47,11.15,12.74,7.42,8.65,5.03,12.09,13,7.81
76,124. Almendrales,12. Usera,"22,834","6,762","16,072",0.15,0.15,0.53,292.7060633,0.01,0.06,0.00,0.16,0.15,0.01,288.40,0.03,0.04,0.02,15.79,15,0.02,284.29,0.088,0.230,0.038,16.830,15.050,0.082,269,84,15,0,69,-0.40,-0.51,-0.60,125934.55,2.18,296,71.06,5823.71,8961,92,1976,,,"2,186",0.195,0.003,0.097,"2,410",0,"2,294",61.78,0.28,-1.00,0.46,0.19,-1.00,0.07,-0.06,-1.00,-0.06,8.87,7.67,10.85,13.05,6.98,8.21,8.05,11.86,13.17,6.78
77,125. Moscardó,12. Usera,"26,579","7,994","18,585",0.18,0.12,0.53,292.462588,0.02,0.06,0.00,0.19,0.13,0.01,287.62,-0.02,0.01,-0.03,18.43,13,-0.03,298.51,0.033,0.207,-0.027,19.440,13.040,0.021,283.080,202,34,0,168,0.26,0.16,-0.19,127680.76,2.23,302,69.56,5385.3,11165,80,1962,,,"2,455",0.373,0.111,0.062,"2,379","2,544","2,346",61.01,0.43,0.65,0.37,0.16,0.32,0.11,0.12,0.21,0.10,10.49,5.61,10.58,12.83,7.48,10.38,6.84,11.57,12.36,7.15
78,126. Zofío,12. Usera,"14,382","4,173","10,208",0.17,0.13,0.54,185.8139535,0.03,0.13,-0.01,0.18,0.13,0.03,181.16,0.00,0.12,-0.04,17.35,14,0.01,186.20,0.050,0.368,-0.041,18.240,13.990,0.051,176.960,118,9,1,108,1.57,0.62,1.00,110891.98,2.28,312,64.8,1864.38,5511,82,1973,,,"1,878",0.156,-0.006,-0.044,"2,108",0,"2,095",54.04,0.40,0.00,0.43,0.06,0.00,0.09,0.20,0.00,0.18,8.67,5.02,11.1,12.79,7.16,8.64,6.35,14.08,12.91,7.92
79,127. Pradolongo,12. Usera,"17,878","6,876","11,001",0.16,0.14,0.53,163.1650999,0.02,0.08,0.00,0.16,0.14,0.02,159.19,0.00,0.06,-0.03,16.59,14,-0.01,162.89,0.037,0.250,-0.062,17.510,14.630,0.033,157.290,15,3,0,12,-0.85,-0.92,-0.93,107596.44,2.43,310,70.47,3436.17,6592,82,1972,,,"2,108",0.257,0.005,0.087,0,0,0,0,0.49,0.61,0.46,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,9.42,5.17,11.55,15.04,8.51,8,5.84,12.51,14.28,10.21
80,131. Entrevías,13. Puente de Vallecas,"35,399","6,907","28,492",0.18,0.14,0.52,59.27594233,0.02,0.12,0.00,0.19,0.14,0.02,58.09,0.00,0.14,-0.03,18.96,14,0.00,59.47,0.042,0.463,-0.026,19.980,14.600,0.042,56.910,448,160,30,258,0.17,0.52,0.24,103646.6,2.2,331,73.99,3078.11,13678,84,1975,,"1,910","1,830",0.431,0.175,0.217,"1,827","1,761","1,885",46.84,0.51,0.51,0.52,0.10,0.04,0.15,0.05,0.03,0.07,10.24,5.68,13.7,12.25,6.2,10.43,4.76,12.44,13.72,8.25
81,132. San Diego,13. Puente de Vallecas,"45,104","15,574","29,530",0.13,0.15,0.52,421.5721095,0.05,0.14,0.01,0.13,0.15,0.05,401.08,0.03,0.11,-0.01,13.50,15,0.02,410.32,0.120,0.469,-0.005,14.950,15.040,0.107,376.370,850,250,24,576,0.38,0.64,0.40,98108.62,2.34,294,52.96,3187.94,17868,72,1965,,"2,393","2,121",0.356,0.100,0.092,"2,143","2,077","2,173",54.96,0.46,0.48,0.44,0.11,0.11,0.11,0.06,0.11,0.05,10.55,5.97,10.76,13.1,6.28,12.89,8.94,11.01,15.23,6.97
82,133. Palomeras Bajas,13. Puente de Vallecas,"40,477","7,045","33,432",0.18,0.12,0.53,234.7990023,0.01,0.13,-0.01,0.17,0.12,0.01,231.66,-0.01,0.11,-0.03,16.47,13,-0.01,237.32,0.020,0.406,-0.035,16.390,13.690,0.023,230.120,409,57,3,349,0.57,0.24,0.04,114480.89,2.42,307,67.74,3346.89,16674,95,1981,13,"2,352","2,190",0.399,0.039,0.133,"2,128","2,073","2,139",54.56,0.41,0.36,0.42,0.14,0.10,0.15,0.07,0.09,0.06,10.67,4.47,11.99,13.65,8.05,10.29,5.88,12.87,11.46,6.46
83,134. Palomeras Sureste,13. Puente de Vallecas,"43,162","6,546","36,615",0.19,0.13,0.53,138.8470694,0.01,0.11,0.00,0.18,0.13,0.02,136.85,0.00,0.16,-0.02,18.23,14,0.01,138.85,0.025,0.476,-0.028,18.460,14.110,0.030,135.500,620,172,0,448,0.40,0.59,0.40,129168.9,2.27,322,83.39,3265.42,17919,91,1982,13.1,"2,330","2,046",0.246,0.017,0.065,"2,149","2,746","1,851",55.1,0.64,1.19,0.40,0.30,0.65,0.12,0.17,0.37,0.05,10.98,9.24,10.51,15.11,7.08,10.45,5,13.53,10.63,7.36
84,135. Portazgo,13. Puente de Vallecas,"28,741","5,204","23,537",0.21,0.14,0.53,230.7957922,0.02,0.13,0.00,0.21,0.14,0.02,226.85,-0.01,0.13,-0.03,21.25,14,-0.01,232.63,0.030,0.432,-0.030,22.030,13.730,0.027,224.110,298,29,2,267,0.66,0.05,0.00,114384.16,2.42,324,71.16,2869.73,11862,83,1977,,"2,153","2,016",0.313,0.104,0.043,"2,062","2,135","2,054",52.86,0.54,0.68,0.52,0.16,0.17,0.17,0.13,0.15,0.13,10.53,6.15,12.51,11.37,6.97,10.43,5.36,14.07,12.35,7.43
85,136. Numancia,13. Puente de Vallecas,"48,720","12,746","35,974",0.18,0.12,0.53,263.4795306,0.03,0.15,-0.01,0.19,0.13,0.03,255.88,0.01,0.16,-0.04,18.28,13,0.00,261.81,0.047,0.414,-0.041,18.770,13.400,0.043,251.680,711,85,19,607,0.14,0.32,0.11,105290.14,2.19,304,63.25,2501.44,20273,85,1971,15.1,"2,608","2,250",0.262,0.081,0.069,"2,195","2,222","2,191",56.27,0.34,0.20,0.35,0.10,0.13,0.09,0.13,0.19,0.13,10.4,5.54,13.14,10.48,7.69,10.63,5.49,11.23,12.98,7.53
86,141. Pavones,14. Moratalaz,"8,814","1,052","7,762",0.27,0.11,0.54,87.29325542,0.01,0.18,-0.01,0.27,0.11,0.01,86.36,-0.06,-0.11,-0.05,24.91,12,-0.06,92.66,-0.029,0.239,-0.057,24.020,12.820,-0.026,89.940,74,7,2,65,0.07,0.30,0.00,155673.31,2.15,333,79.7,3457.66,3568,106,1979,,,"2,128",0.000,-0.042,0.000,"2,358",0,"2,346",60.45,0.35,0.00,0.32,0.18,0.00,0.15,0.11,0.00,0.10,10.5,3,10.05,8.5,7.15,8.55,3.37,9.32,8.3,6.48
87,142. Horcajo,14. Moratalaz,"6,339",518,"5,821",0.11,0.13,0.52,84.98458238,0.00,0.17,-0.02,0.11,0.14,0.00,85.18,-0.01,0.65,-0.05,9.31,17,-0.02,86.27,0.002,1.421,-0.048,8.050,19.300,0.005,84.810,23,4,1,18,-0.04,0.53,-0.44,235668.8,1.91,310,92.08,0,2410,141,1999,,,-,0.000,0.000,0.000,"3,649",0,"3,600",93.54,0.27,-1.00,0.38,0.00,0.00,0.00,0.08,0.00,0.00,10.85,5.23,10.78,8.22,5.95,10.76,5.07,9.99,8.43,5.55
88,143. Marroquina,14. Moratalaz,"26,120","1,998","24,122",0.29,0.09,0.54,145.9136361,-0.01,0.10,-0.01,0.29,0.10,0.00,146.91,-0.04,0.08,-0.05,27.63,10,-0.03,152.13,-0.046,0.272,-0.065,26.630,10.760,-0.033,152.950,212,11,0,201,0.04,0.35,0.30,176370.13,2.11,302,84.61,7167.65,11860,99,1976,,,"3,137",0.000,0.094,0.081,"3,143",0,"3,146",80.59,0.35,0.00,0.35,0.08,0.00,0.08,0.07,0.00,0.08,9.41,4.43,11.22,7.34,6.12,8.71,3.96,10.41,7.26,5.86
89,144. Media Legua,14. Moratalaz,"17,323","2,016","15,307",0.29,0.11,0.55,173.4034034,0.00,0.09,-0.01,0.29,0.11,0.00,173.95,-0.03,0.07,-0.05,27.66,11,-0.03,179.70,-0.024,0.373,-0.060,27.430,11.430,-0.018,177.750,198,5,1,192,0.24,0.49,0.42,156771.6,2.02,313,83.87,7026.99,8027,99,1975,,,"2,558",0.000,-0.040,-0.026,"2,905",0,"2,912",74.47,0.41,0.00,0.42,0.11,0.00,0.12,0.10,0.00,0.10,9.51,4.65,9.69,9.29,6.2,8.64,5.24,8.97,9.02,6.26
90,145. Fontarrón,14. Moratalaz,"17,333","3,081","14,252",0.24,0.12,0.55,179.6910637,0.02,0.12,0.00,0.24,0.12,0.02,176.70,-0.01,0.13,-0.04,25.13,12,-0.01,181.62,0.025,0.464,-0.037,26.700,12.750,0.031,175.230,257,11,12,234,0.37,0.49,0.15,142080.71,2.21,320,68.16,3484.27,7825,83,1967,,,"2,457",0.230,0.113,0.067,"2,509",0,"2,535",64.33,0.37,-1.00,0.37,0.10,0.00,0.10,0.12,0.00,0.13,12.95,4.56,11.99,9.17,6.75,11,4.38,11.22,8.84,8.85
91,146. Vinateros,14. Moratalaz,"16,885","2,458","14,427",0.28,0.11,0.56,284.2592593,0.02,0.15,0.00,0.29,0.11,0.02,279.46,-0.01,0.16,-0.04,29.21,11,-0.02,288.26,0.004,0.419,-0.044,30.610,11.430,0.002,283.130,190,9,0,181,0.04,0.46,0.20,150631.79,2.17,310,74.69,6665.49,8196,79,1966,,,"2,627",0.000,0.051,0.045,"2,544",0,"2,530",65.23,0.42,0.38,0.42,0.07,0.00,0.07,0.03,0.00,0.02,9.43,6.54,9.8,7.82,6.29,8.9,6.17,9.09,7.76,5.72
92,151. Ventas,15. Ciudad Lineal,"50,218","10,040","40,178",0.22,0.10,0.54,157.0293934,0.05,0.14,0.03,0.23,0.11,0.04,149.47,0.03,0.15,0.00,23.24,11,0.01,152.88,0.052,0.364,-0.005,24.210,11.740,0.038,149.290,730,57,2,671,0.36,0.41,0.36,142967.25,2.25,323,67.44,4438.57,23418,77,1968,16.3,"3,115","2,841",0.248,0.066,0.110,"2,996","3,841","2,918",76.8,0.47,0.73,0.44,0.10,0.23,0.10,0.10,0.15,0.09,6.03,5.27,6.36,7.89,6.41,5.9,6.81,6.34,7.79,6.97
93,152. Pueblo Nuevo,15. Ciudad Lineal,"62,840","13,020","49,820",0.22,0.12,0.54,270.9555019,0.01,0.11,-0.01,0.22,0.12,0.02,267.05,-0.01,0.09,-0.03,21.52,12,-0.01,273.89,0.027,0.361,-0.034,22.090,12.670,0.030,263.710,866,79,0,787,0.33,0.50,0.20,140381.16,2.18,320,68.03,4905.66,27508,83,1973,15.5,"2,938","2,708",0.215,0.085,0.067,"2,947","4,002","2,834",75.55,0.54,0.95,0.49,0.21,0.44,0.17,0.13,0.43,0.09,5.79,5.58,6.61,8.12,6.14,5.74,7.56,6.53,8.17,6.18
94,153. Quintana,15. Ciudad Lineal,"25,469","5,729","19,738",0.21,0.11,0.55,352.21961,0.05,0.18,0.02,0.22,0.11,0.04,334.43,0.01,0.15,-0.02,21.67,11,0.00,347.81,0.045,0.350,-0.019,22.590,11.640,0.029,337.050,404,11,0,393,0.15,0.53,0.13,154821.45,2.4,315,67.13,4491.04,12232,81,1965,17.7,"3,462","3,179",0.283,0.124,0.091,"3,402",0,"3,351",87.22,0.44,0.00,0.42,0.08,0.00,0.07,0.08,0.00,0.06,5.99,11.25,5.94,8.3,6.15,6.2,12.09,5.87,8.41,6.76
95,154. Concepción,15. Ciudad Lineal,"20,941","3,440","17,501",0.24,0.11,0.55,236.3810814,0.02,0.15,0.00,0.24,0.11,0.02,230.72,-0.01,0.12,-0.03,23.75,12,-0.02,238.77,0.007,0.242,-0.030,24.220,12.440,-0.007,234.820,303,2,0,301,-0.01,0.48,0.10,179107.65,2.36,313,69.77,4095.61,10912,90,1964,16.4,"3,788","3,620",0.479,0.111,0.111,"4,069",0,"4,072",104.33,0.33,0.00,0.34,0.02,0.00,0.02,0.10,0.00,0.10,6.62,5.45,5.61,7.08,6.79,6.29,6.37,5.54,7.24,6.94
96,155. San Pascual,15. Ciudad Lineal,"18,327","1,943","16,384",0.27,0.12,0.54,174.0951838,0.04,0.22,0.03,0.28,0.12,0.04,166.67,0.01,0.23,-0.01,26.56,12,0.00,172,0.014,0.385,-0.017,25.970,12.520,0.001,171.630,220,0,0,220,0.34,0.55,0.24,210636.05,2.17,317,68.87,4537.55,9020,99,1976,16.2,"3,684","3,622",0.140,0.065,0.059,"4,258",0,"4,258",109.16,0.27,0.00,0.29,0.03,0.00,0.03,0.11,0.00,0.11,6.04,6.94,7.93,5.94,6.2,6.21,6.44,7.82,6.18,8.54
97,156. San Juan Bautista,15. Ciudad Lineal,"12,445","1,372","11,073",0.23,0.15,0.53,123.1203008,0.01,0.07,0.01,0.22,0.15,0.01,121.55,-0.02,0.01,-0.03,21.58,15,-0.02,125.88,0.001,0.265,-0.024,21.240,15.700,-0.003,123,137,1,1,135,0.46,0.10,0.05,335075.52,2.04,326,103.66,5692.59,5903,127,1983,16.1,"4,640","4,626",0.235,0.079,0.064,"4,836",0,"4,806",124,0.32,0.00,0.36,0.18,0.00,0.18,0.17,0.00,0.16,8.36,6.29,4.93,5.52,6.13,8.1,6,4.84,5.59,6.49
98,157. Colina,15. Ciudad Lineal,"6,569",796,"5,773",0.23,0.14,0.55,117.3664463,0.04,0.15,0.02,0.24,0.15,0.04,113.24,0.01,0.15,-0.01,22.60,15,0.00,116.47,0.045,0.322,0.015,22.760,15.390,0.041,112.350,76,13,0,63,0.00,-0.01,-0.01,293354.55,2.32,315,86.51,4422.72,3137,119,1978,17,"5,266","5,085",0.000,0.091,0.061,"4,920",0,"4,712",126.14,0.52,0.00,0.53,0.16,0.00,0.10,0.17,0.00,0.16,7.78,5.68,7.02,5.55,6.48,8.9,6.03,6.86,6.15,6.74
